;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
49;0.3175;90.4974;27559.5621;0.1149;75.7579;2005079.7698;16.9213;34.8188;0.0;0.0;95.0466;0.0;425.5306;589.689;0.0;59.455;856.7786;11.3777;11956.2364;2.9762;0.2264;117.5963;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
50;0.5066;88.6851;27699.8239;0.1946;66.5117;1968523.0151;15.614;40.013;0.0;0.0;94.7402;0.0;403.5691;571.3734;0.0;57.1852;856.6924;10.0361;8845.8913;1.8675;0.3981;105.8362;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
51;0.4686;111.5617;27050.5067;0.2099;92.8197;1959912.2601;16.9937;34.1703;0.0;0.0;95.6822;0.0;522.6166;570.1787;0.0;61.4545;872.6057;11.3724;9195.3625;1.7757;0.4248;104.9305;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
52;0.4946;115.6003;26922.7198;0.1892;93.214;1973343.2002;16.4584;30.0373;0.0;0.0;94.2297;0.0;533.6803;574.6401;0.0;55.2139;899.2498;10.1654;8671.5141;2.4458;0.4154;115.1142;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
53;0.4174;85.7533;27251.0235;0.1771;67.9172;2022296.8781;15.1716;35.2727;0.0;0.0;94.2547;0.0;421.9408;596.1657;0.0;53.3406;855.3003;11.8601;9559.9971;2.3782;0.4283;107.3358;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
54;0.4446;102.4613;28208.9215;0.1598;82.7891;1948450.256;15.4156;42.5733;0.0;0.0;93.7163;0.0;503.3012;560.0171;0.0;58.2077;860.6554;10.6076;9337.247;1.7145;0.2577;111.4295;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
55;0.4059;95.3199;27583.1953;0.141;76.4403;1965519.465;16.8848;37.8179;0.0;0.0;94.8271;0.0;429.2983;565.5219;0.0;69.7772;887.5336;11.3084;9206.2702;2.2164;0.2086;108.8954;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
56;0.3866;83.9142;28046.1195;0.157;67.9149;1954320.134;15.7967;39.758;0.0;0.0;94.5116;0.0;406.3345;557.1529;0.0;64.529;895.4426;10.8997;11206.7704;1.9082;0.3296;115.2251;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
57;0.362;111.0982;27396.159;0.135;95.0221;1940066.3789;16.9269;34.0738;0.0;0.0;95.9717;0.0;538.7541;565.1062;0.0;59.7641;860.4795;10.5008;11492.5004;2.93;0.3016;115.3719;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
58;0.482;114.8657;27068.8922;0.1936;93.6002;1995649.2293;16.2877;33.5557;0.0;0.0;93.5283;0.0;537.477;585.3734;0.0;61.244;866.0307;10.3111;9101.2979;1.9446;0.3998;107.4003;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
59;0.4275;92.7185;28210.3828;0.1495;72.4494;2056506.1212;15.094;44.3299;0.0;0.0;95.539;0.0;458.5758;594.9813;0.0;68.4296;886.6436;10.6975;9484.485;2.618;0.3179;107.047;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
60;0.3721;95.5401;28270.4666;0.1492;79.807;1995266.6953;16.0222;41.3124;0.0;0.0;94.3878;0.0;470.1483;572.082;0.0;50.1922;892.676;10.8836;11652.3782;2.5244;0.3612;116.3202;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
61;0.4382;110.8352;27598.946;0.1416;89.573;1978551.5245;15.8908;40.1894;0.0;0.0;94.6456;0.0;533.4967;576.5888;0.0;56.6934;850.4994;11.5848;8032.4818;2.8531;0.2131;102.8616;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
