;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
325;0.3586;418.0639;24302.0;0.158;404.2179;1677012.9877;3.5144;0.0;0.0;0.0;44.8335;0.0;444.5381;556.5138;0.0;0.0;891.6812;10.1423;11941.9339;2.476;1.3195;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
326;0.4568;682.6278;24302.0;0.2122;665.4594;1705711.4779;4.9799;0.0;0.0;0.0;42.0204;0.0;484.0644;566.0556;0.0;0.0;893.414;11.1702;8894.3591;2.9836;1.4083;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
327;0.3784;574.5542;24302.0;0.2007;561.4533;1791685.7398;3.945;0.0;0.0;0.0;42.3338;0.0;519.3928;594.6407;0.0;0.0;885.7169;11.4188;11976.7941;2.0745;1.7591;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
328;0.4905;755.0477;24302.0;0.2471;736.9471;1807405.8763;5.0808;0.0;0.0;0.0;42.517;0.0;531.6292;599.8674;0.0;0.0;861.7317;11.7725;8481.9078;2.243;1.5323;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
329;0.5027;805.5366;24302.0;0.268;788.9898;1713122.0514;5.7194;0.0;0.0;0.0;43.7675;0.0;520.4927;568.5195;0.0;0.0;866.466;10.7152;9662.1354;1.7661;1.562;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
330;0.3853;683.6216;24302.0;0.1922;669.604;1764452.5815;5.2394;0.0;0.0;0.0;43.0667;0.0;474.4824;585.5861;0.0;0.0;874.4685;11.1514;11287.7687;2.7166;1.3452;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
331;0.3839;468.3185;24302.0;0.18;453.8821;1720358.7821;4.1796;0.0;0.0;0.0;45.5062;0.0;426.0111;570.9256;0.0;0.0;878.9307;10.4479;11405.9263;2.8354;1.5276;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
332;0.4658;632.7446;24302.0;0.2344;616.3041;1726319.6635;5.6561;0.0;0.0;0.0;44.2909;0.0;416.0394;572.9075;0.0;0.0;889.004;10.2742;10220.1505;2.2521;1.5043;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
333;0.4126;593.5574;24302.0;0.2114;578.7939;1783174.9643;4.2812;0.0;0.0;0.0;43.7815;0.0;510.2595;591.811;0.0;0.0;856.9056;11.6228;10391.9285;2.6422;1.8054;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
334;0.4081;637.2004;24302.0;0.2254;624.1648;1733830.9935;4.8682;0.0;0.0;0.0;44.3321;0.0;489.9945;575.4049;0.0;0.0;867.7402;11.5946;11471.5574;1.9676;1.6565;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
335;0.4597;698.6784;24302.0;0.2457;683.7929;1690594.9787;5.5967;0.0;0.0;0.0;45.6585;0.0;480.9016;561.0296;0.0;0.0;898.5862;10.4542;10863.882;2.4982;1.8359;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
336;0.4198;597.1779;24302.0;0.2323;583.8462;1727590.099;5.0124;0.0;0.0;0.0;42.2277;0.0;424.0257;573.3299;0.0;0.0;890.3918;11.7607;11018.5134;1.5046;1.355;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
337;0.4253;570.5512;24302.0;0.2054;554.405;1784144.6338;4.5818;0.0;0.0;0.0;45.2144;0.0;471.6391;592.1334;0.0;0.0;891.5535;11.5003;9608.3989;2.3649;1.3581;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
338;0.3826;498.5372;24302.0;0.1722;483.9352;1686613.7392;3.8417;0.0;0.0;0.0;42.6074;0.0;462.6907;559.7059;0.0;0.0;861.7506;10.4351;11068.9261;2.6695;1.4032;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
