;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
126;0.8629;211.2924;76328.4994;0.2198;187.1652;2863482.6903;1.0981;0.0;30.0832;69.3538;94.2955;0.0;482.6475;558.4785;0.0;0.0;876.7089;10.9344;10854.0817;2.4068;9.3531;173.0365;44.1833;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
127;0.8897;253.51;77048.6494;0.2551;228.9054;2987310.6314;1.2843;0.0;33.891;72.3636;93.6674;0.0;501.3417;566.6449;0.0;0.0;858.2952;10.4214;11650.3151;2.0078;9.4425;185.3892;51.7018;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
128;0.8443;196.0542;75758.2494;0.2145;173.5625;2705428.2107;1.1879;0.0;36.8278;69.9617;94.3832;0.0;414.1203;560.4119;0.0;0.0;877.5925;10.7049;11236.5133;2.7709;8.9947;174.7768;34.9446;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
129;0.9575;207.2093;76230.8963;0.264;182.0761;2762564.4158;1.2011;0.0;46.1403;68.4903;94.9401;0.0;432.1944;556.7606;0.0;0.0;860.1681;11.8773;9254.3519;1.9581;9.4088;170.3754;41.7643;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
130;0.9463;212.0621;75808.5586;0.213;182.885;3016159.802;1.0105;0.0;38.7066;66.8067;94.4085;0.0;513.1079;586.972;0.0;0.0;886.8937;11.3842;9080.4989;2.8434;9.375;188.051;36.8437;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
131;1.1128;288.0271;75751.9682;0.3105;254.9288;3125152.2271;1.3919;0.0;40.5501;75.6779;94.5215;0.0;519.873;569.5271;0.0;0.0;876.5406;11.327;8335.8641;1.6266;8.9026;185.5899;31.6465;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
132;0.8706;237.5025;75717.633;0.2187;211.5744;3011752.2761;1.1022;0.0;37.419;65.3583;95.0832;0.0;548.1031;555.6096;0.0;0.0;896.3149;10.3573;11215.0696;2.0029;8.6149;175.6887;36.7003;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
133;1.1556;270.3565;77188.3132;0.3113;237.4554;3008010.826;1.4006;0.0;49.2337;69.7148;95.8478;0.0;487.9843;584.3109;0.0;0.0;853.8607;10.8843;8399.8036;1.9316;9.8002;181.5007;54.1474;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
134;0.9007;280.5309;76402.3548;0.2646;257.053;2820005.9392;1.4333;0.0;32.9275;61.7513;93.7786;0.0;505.0624;555.8233;0.0;0.0;850.0623;11.8056;10174.2469;2.7125;9.573;183.1225;50.285;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
135;0.9767;234.968;76884.1911;0.2624;205.8676;3132180.6367;1.1462;0.0;31.0928;79.7889;93.0986;0.0;502.142;586.8698;0.0;0.0;887.3994;11.4421;9406.8063;1.6866;9.0767;160.8525;45.4717;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
