;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
210;0.7097;105.7491;25866.0;0.4112;80.8846;2154752.1269;17.4197;32.1274;0.0;0.0;78.9876;0.0;409.2997;581.101;0.0;0.6939;880.9261;10.6268;8154.8459;2.1861;0.6417;119.94;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
211;0.7064;119.0093;25866.0;0.4542;98.3544;2117780.126;16.3764;33.2682;0.0;0.0;72.8661;0.0;495.3939;562.6516;0.0;0.5578;879.368;11.8925;8621.5315;2.6554;1.0003;112.976;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
212;0.7998;112.842;25866.0;0.5189;88.7283;2220593.925;15.3868;33.7787;0.0;0.0;70.7142;0.0;452.6568;597.6118;0.0;0.5338;893.8636;10.5761;8707.242;2.0;0.9793;118.0783;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
213;0.6945;133.9915;25866.0;0.436;111.9474;2205469.5305;18.5943;37.6177;0.0;0.0;78.0154;0.0;511.1756;594.2243;0.0;0.6607;850.4179;10.19;9818.2696;2.5344;0.7537;108.7494;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
214;0.5841;119.9224;25866.0;0.3294;98.2037;2205685.1212;15.8663;34.3701;0.0;0.0;76.8691;0.0;543.4707;593.2348;0.0;0.6513;882.8858;10.6066;9574.8757;2.9824;0.7836;117.812;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
215;0.7677;105.167;25866.0;0.5401;85.5262;2231931.923;16.2882;39.8608;0.0;0.0;74.4765;0.0;429.5441;590.2822;0.0;0.5935;869.1377;10.9448;10382.7818;1.563;0.9859;100.177;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
216;0.6189;107.5692;25866.0;0.3573;86.2804;2105398.5789;16.6405;30.6452;0.0;0.0;78.318;0.0;458.1235;563.5252;0.0;0.6769;891.6082;10.2311;9666.3229;2.7988;0.8095;118.4606;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
217;0.7043;126.993;25866.0;0.4923;109.3261;2155028.975;17.2006;37.9447;0.0;0.0;76.7793;0.0;530.3158;569.6412;0.0;0.6334;856.0568;10.6889;11411.9286;1.8476;0.9398;100.9615;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
218;0.6111;97.7063;25866.0;0.3605;75.8407;2257310.8245;15.1063;48.1554;0.0;0.0;73.6106;0.0;435.6711;563.3912;0.0;0.5707;881.5161;10.4404;9888.0708;2.7298;0.9209;102.7018;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
219;0.6592;111.8208;25866.0;0.3942;88.3902;2287409.2166;15.7695;42.1509;0.0;0.0;72.5683;0.0;448.0829;598.561;0.0;0.5677;886.2598;10.4634;9330.1399;2.7642;0.7493;109.8577;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
220;0.6652;96.8653;25866.0;0.428;76.408;2230925.2014;14.9215;39.4271;0.0;0.0;72.0395;0.0;437.5911;593.373;0.0;0.5458;864.3512;11.0796;9842.6347;1.9718;0.89;105.7476;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
221;0.6087;119.5267;25866.0;0.3872;100.4633;2225843.5693;16.344;40.2007;0.0;0.0;75.4734;0.0;518.7284;585.4507;0.0;0.6161;871.4722;11.5555;10104.3337;2.0104;0.7535;116.1896;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
222;0.6934;109.9901;25866.0;0.4317;87.9338;2179908.92;16.8016;33.6665;0.0;0.0;76.7894;0.0;452.046;580.306;0.0;0.6723;897.4039;11.2044;8820.9985;1.5767;0.691;110.7015;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
223;0.6231;110.5545;25866.0;0.3373;85.7839;2242027.4523;17.7444;39.6951;0.0;0.0;78.0457;0.0;428.3582;587.9269;0.0;0.6682;886.4268;10.5036;8617.1971;2.7095;0.5771;107.5026;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
224;0.7209;115.2287;25866.0;0.465;93.6501;2180852.5417;17.3542;38.5984;0.0;0.0;78.157;0.0;467.8568;563.944;0.0;0.6827;891.4914;10.5452;9584.0344;1.8447;0.8429;106.6909;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
225;0.606;93.6879;25866.0;0.3898;74.975;2238942.3266;15.1411;43.3769;0.0;0.0;70.6981;0.0;409.9307;567.6042;0.0;0.532;896.2676;10.6992;11182.8018;2.2208;0.8608;115.9847;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
226;0.5524;95.163;25866.0;0.3438;78.1457;2110137.5862;15.9943;34.9536;0.0;0.0;75.1713;0.0;420.8098;561.5425;0.0;0.6191;855.8814;11.3948;10882.1068;2.2081;0.7298;109.5137;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
227;0.7725;116.6157;25866.0;0.5083;93.952;2218792.8895;15.9417;39.5733;0.0;0.0;71.2325;0.0;470.4482;585.7298;0.0;0.5478;868.976;11.4404;8557.4355;1.9161;0.8714;105.6245;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
228;0.6586;112.1756;25866.0;0.4486;94.2152;2212027.1492;16.4075;47.5609;0.0;0.0;75.0378;0.0;472.903;560.6517;0.0;0.6198;852.5986;11.7149;10513.1869;1.9747;0.8754;114.1893;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
229;0.7584;99.2444;25866.0;0.4753;76.1068;2114161.4463;15.1978;35.2464;0.0;0.0;71.4787;0.0;416.136;552.3005;0.0;0.5506;883.4319;11.3656;8039.4682;2.0524;0.945;109.4856;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
230;0.5997;88.9959;25866.0;0.3515;67.7839;2210262.3147;14.1886;40.2847;0.0;0.0;71.1677;0.0;402.0048;579.1189;0.0;0.5537;869.8437;11.295;9225.2252;2.3321;0.8026;115.2299;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
231;0.6903;110.2891;25866.0;0.4295;88.3226;2178250.7984;16.0696;31.4508;0.0;0.0;72.098;0.0;438.3348;588.5048;0.0;0.5684;894.8098;11.0743;8954.2484;2.6196;0.8745;102.4881;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
232;0.6382;121.3093;25866.0;0.3918;99.6088;2278237.0335;16.7271;49.354;0.0;0.0;78.834;0.0;527.5431;573.5539;0.0;0.6745;872.0875;10.8714;9657.0226;1.8837;0.6998;107.6632;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
233;0.7212;99.9543;25866.0;0.4865;80.7704;2114204.8549;17.0568;33.4911;0.0;0.0;76.7167;0.0;402.7144;569.5213;0.0;0.6574;852.0829;11.1393;9893.5476;1.7684;0.884;111.1099;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
234;0.6428;116.0474;25866.0;0.4241;97.2034;2228691.7675;17.0958;45.0287;0.0;0.0;78.1952;0.0;484.7795;578.4855;0.0;0.6581;851.452;10.3299;11449.3592;1.5063;0.6718;118.941;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
235;0.7775;112.2149;25866.0;0.509;89.707;2168025.3206;17.633;41.075;0.0;0.0;76.5173;0.0;426.9859;551.0395;0.0;0.6467;885.2208;11.3181;8510.4823;2.1638;0.8964;104.4779;0.0;42.39;1.656;1.174;2.41;2.38;0.0;0.0;0.0;9.43;33.62;24.69;0.0;0.0;0.0;680.5;1395.0;30366.0;0.0;10.0;0.0;150.0;0.0;1.0;1.0;1.0;3000.0
