;FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
10;16.4336;33.5181;0.0;0.0;94.5754;0.0;496.7656;569.9895;0.0;54.0892;873.7702;11.4708;10855.3782;1.7999;0.3421;117.0794;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
11;15.3588;33.4207;0.0;0.0;93.6895;0.0;443.3897;576.5232;0.0;50.5635;895.1616;11.4464;11119.1755;1.9594;0.3077;107.9483;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
12;16.3916;46.3871;0.0;0.0;93.6134;0.0;408.0778;559.9858;0.0;53.544;851.8218;10.2286;9157.0028;2.3246;0.304;114.0357;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
13;15.2461;40.5;0.0;0.0;95.8245;0.0;421.4182;582.6317;0.0;54.9088;869.4028;11.7498;11305.2529;2.7969;0.3732;112.5261;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
14;15.1959;36.7536;0.0;0.0;94.7352;0.0;433.6921;577.8064;0.0;62.8495;896.7194;10.8061;9133.4689;2.6266;0.2465;100.6908;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
15;16.8761;44.8442;0.0;0.0;94.7973;0.0;506.2109;573.3877;0.0;62.0709;898.5262;11.5156;11596.3821;2.8964;0.2579;107.1569;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
16;16.7627;36.0792;0.0;0.0;93.4701;0.0;523.2338;590.1909;0.0;55.7152;887.4812;10.1424;9301.4415;2.9914;0.3608;103.4346;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
17;15.5179;35.4456;0.0;0.0;93.8612;0.0;430.2259;559.6156;0.0;68.7682;868.1013;10.4456;11395.2895;2.5024;0.4467;111.6443;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
18;16.4208;35.4925;0.0;0.0;95.3054;0.0;455.7834;599.4505;0.0;57.2726;851.3577;10.604;10631.6658;2.9026;0.3492;100.4359;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
19;16.2442;48.7521;0.0;0.0;94.2563;0.0;441.2334;585.2583;0.0;67.7194;868.7367;10.4298;10461.0217;1.9042;0.3342;107.091;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
20;15.7081;32.1274;0.0;0.0;94.1926;0.0;545.8785;584.8337;0.0;69.3864;866.6961;11.8689;10739.4506;2.3416;0.346;119.94;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
21;15.3317;37.4714;0.0;0.0;94.8939;0.0;409.2997;581.101;0.0;61.2961;880.9261;10.6268;8154.8459;2.1861;0.206;100.3833;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
22;16.9066;33.2682;0.0;0.0;94.9866;0.0;504.3318;597.2475;0.0;55.7781;889.8661;11.7629;11836.5674;1.599;0.3366;112.976;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
23;16.3636;40.7069;0.0;0.0;95.2238;0.0;495.3939;562.6516;0.0;69.9655;879.368;11.8925;8621.5315;2.6554;0.4688;119.4988;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
24;15.8641;33.7787;0.0;0.0;93.5151;0.0;490.1031;564.9507;0.0;53.3764;893.6672;10.3557;11120.0003;1.8568;0.4738;118.0783;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
25;16.8397;49.5396;0.0;0.0;94.9581;0.0;452.6568;597.6118;0.0;69.2316;893.8636;10.5761;8707.242;2.0;0.329;101.3051;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
26;16.7729;37.6177;0.0;0.0;95.9535;0.0;446.4343;586.4011;0.0;66.0674;860.2941;10.1644;11293.4871;2.9559;0.4072;108.7494;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
27;16.8747;32.5944;0.0;0.0;93.8173;0.0;511.1756;594.2243;0.0;65.4336;850.4179;10.19;9818.2696;2.5344;0.2641;112.0876;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
28;15.152;34.3701;0.0;0.0;94.757;0.0;548.9167;599.7843;0.0;65.1269;859.2676;10.0062;9107.112;1.5859;0.2364;117.812;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
29;15.0345;40.3217;0.0;0.0;94.0969;0.0;543.4707;593.2348;0.0;53.852;882.8858;10.6066;9574.8757;2.9824;0.4527;108.7538;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
30;15.7045;39.8608;0.0;0.0;95.5486;0.0;531.0044;572.1503;0.0;59.349;855.7653;11.0402;10701.3164;2.7069;0.4683;100.177;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
31;16.7843;36.837;0.0;0.0;94.284;0.0;429.5441;590.2822;0.0;55.9934;869.1377;10.9448;10382.7818;1.563;0.4208;110.1493;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
32;15.3501;30.6452;0.0;0.0;95.0905;0.0;518.0764;550.7831;0.0;67.6891;884.3104;10.3741;8419.7299;1.6041;0.29;118.4606;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
33;15.1768;33.3233;0.0;0.0;93.8856;0.0;458.1235;563.5252;0.0;67.6078;891.6082;10.2311;9666.3229;2.7988;0.4989;105.2366;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
34;15.8236;37.9447;0.0;0.0;95.3642;0.0;453.7965;587.7902;0.0;63.3397;855.1948;11.1343;10390.5668;2.2832;0.4014;100.9615;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
35;16.9401;42.3205;0.0;0.0;95.0019;0.0;530.3158;569.6412;0.0;57.7503;856.0568;10.6889;11411.9286;1.8476;0.4849;105.9479;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
36;16.0781;48.1554;0.0;0.0;95.8359;0.0;507.098;561.6648;0.0;57.0737;877.7829;10.0463;11917.2888;1.8541;0.3583;102.7018;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
37;15.0837;35.9532;0.0;0.0;94.5452;0.0;435.6711;563.3912;0.0;53.8162;881.5161;10.4404;9888.0708;2.7298;0.3844;106.789;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
38;15.6025;42.1509;0.0;0.0;94.1404;0.0;424.689;597.7114;0.0;56.7697;867.7786;10.1564;8468.738;2.5175;0.3145;109.8577;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
39;16.8295;34.214;0.0;0.0;94.68;0.0;448.0829;598.561;0.0;58.2179;886.2598;10.4634;9330.1399;2.7642;0.2101;101.5887;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
40;16.3866;39.4271;0.0;0.0;95.896;0.0;454.2949;558.1421;0.0;54.5829;890.5584;10.839;8970.7173;2.4886;0.4981;105.7476;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
41;15.2093;40.8594;0.0;0.0;94.0263;0.0;437.5911;593.373;0.0;58.8693;864.3512;11.0796;9842.6347;1.9718;0.2305;117.2817;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
42;15.7608;40.2007;0.0;0.0;94.723;0.0;516.6245;563.0068;0.0;61.6056;877.3247;11.3207;10185.8455;1.7434;0.2012;116.1896;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
43;16.0902;48.8632;0.0;0.0;94.9399;0.0;518.7284;585.4507;0.0;60.7929;871.4722;11.5555;10104.3337;2.0104;0.3699;100.5926;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
44;15.5262;33.6665;0.0;0.0;93.2298;0.0;511.6735;586.0749;0.0;67.2262;898.6671;11.5305;8061.646;1.9912;0.2618;110.7015;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
45;15.3293;49.7333;0.0;0.0;93.8;0.0;452.046;580.306;0.0;55.8561;897.4039;11.2044;8820.9985;1.5767;0.3357;115.2566;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
46;16.6482;39.6951;0.0;0.0;94.3389;0.0;477.3341;552.4228;0.0;66.8223;885.6383;11.9864;11628.71;2.7538;0.2097;107.5026;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
47;15.1246;31.8836;0.0;0.0;95.4224;0.0;428.3582;587.9269;0.0;59.9451;886.4268;10.5036;8617.1971;2.7095;0.2085;119.3414;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
48;15.7112;38.5984;0.0;0.0;93.3612;0.0;501.161;595.2529;0.0;68.2717;896.0867;11.9109;11549.1119;1.8299;0.46;106.6909;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
49;15.6575;34.5291;0.0;0.0;95.5809;0.0;467.8568;563.944;0.0;61.0995;891.4914;10.5452;9584.0344;1.8447;0.3834;116.5505;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
50;16.7248;43.3769;0.0;0.0;93.3553;0.0;509.2522;592.1371;0.0;53.2005;890.6867;10.6642;10082.7904;2.847;0.4639;115.9847;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
51;15.5565;40.5444;0.0;0.0;95.2064;0.0;409.9307;567.6042;0.0;62.6952;896.2676;10.6992;11182.8018;2.2208;0.206;109.6887;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
52;15.8479;34.9536;0.0;0.0;93.2741;0.0;410.5431;572.5283;0.0;61.9091;893.0411;10.7384;11667.9061;1.7745;0.3149;109.5137;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
53;15.2357;32.3842;0.0;0.0;95.8116;0.0;420.8098;561.5425;0.0;67.5398;855.8814;11.3948;10882.1068;2.2081;0.2521;101.0513;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
54;16.4156;39.5733;0.0;0.0;93.1598;0.0;429.8775;573.0198;0.0;54.7781;874.5243;10.2725;10418.8917;1.8054;0.4835;105.6245;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
55;16.6169;32.0726;0.0;0.0;95.0036;0.0;470.4482;585.7298;0.0;51.6859;868.976;11.4404;8557.4355;1.9161;0.2206;118.6279;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
56;15.4386;47.5609;0.0;0.0;93.5546;0.0;479.1756;595.6719;0.0;61.9754;895.8033;10.4965;8001.2958;2.5106;0.3311;114.1893;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
57;16.6034;43.6484;0.0;0.0;95.1434;0.0;472.903;560.6517;0.0;50.6541;852.5986;11.7149;10513.1869;1.9747;0.4313;118.7023;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
58;16.26;35.2464;0.0;0.0;94.789;0.0;436.8293;564.1695;0.0;55.0566;872.3203;11.5621;11459.1415;2.963;0.4189;109.4856;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
59;15.6247;49.6177;0.0;0.0;93.6923;0.0;416.136;552.3005;0.0;54.6621;883.4319;11.3656;8039.4682;2.0524;0.3448;107.967;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
60;15.4429;40.2847;0.0;0.0;93.3497;0.0;415.2028;556.2298;0.0;55.3701;891.3104;11.9645;9798.5046;1.8982;0.2635;115.2299;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
61;15.0353;43.0028;0.0;0.0;94.2357;0.0;402.0048;579.1189;0.0;58.2755;869.8437;11.295;9225.2252;2.3321;0.2858;105.9596;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
62;15.9662;31.4508;0.0;0.0;93.0446;0.0;500.3677;594.2752;0.0;56.8418;864.1694;11.182;11562.7109;2.8585;0.2691;102.4881;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
63;16.7944;35.7164;0.0;0.0;94.8827;0.0;438.3348;588.5048;0.0;57.3778;894.8098;11.0743;8954.2484;2.6196;0.3859;115.1076;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
64;15.4344;49.354;0.0;0.0;95.1138;0.0;510.2053;582.2483;0.0;67.4528;871.7751;10.0613;9521.6777;2.0338;0.3184;107.6632;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
65;15.275;39.7436;0.0;0.0;95.3209;0.0;527.5431;573.5539;0.0;51.9433;872.0875;10.8714;9657.0226;1.8837;0.2952;110.3849;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
66;15.729;33.4911;0.0;0.0;93.7689;0.0;525.6251;562.2604;0.0;65.7367;880.2091;10.9027;9195.3596;2.2417;0.4826;111.1099;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
67;16.0104;45.9305;0.0;0.0;94.5006;0.0;402.7144;569.5213;0.0;50.94;852.0829;11.1393;9893.5476;1.7684;0.3771;108.9518;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
68;15.4727;45.0287;0.0;0.0;95.2553;0.0;460.3384;564.5782;0.0;65.8128;857.9427;10.493;9111.8233;1.9534;0.2609;118.941;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
69;16.5515;31.7384;0.0;0.0;95.515;0.0;484.7795;578.4855;0.0;54.7083;851.452;10.3299;11449.3592;1.5063;0.2813;104.906;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
70;16.2249;41.075;0.0;0.0;95.2323;0.0;461.359;573.8952;0.0;64.6665;870.949;10.5254;10722.868;2.6047;0.4306;104.4779;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
71;16.5753;47.3394;0.0;0.0;93.1991;0.0;426.9859;551.0395;0.0;52.8849;885.2208;11.3181;8510.4823;2.1638;0.4244;113.9834;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
