;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
40;0.4878;97.7148;27634.3212;0.2036;77.6294;1952974.4965;16.3866;39.4271;0.0;0.0;95.896;0.0;454.2949;558.1421;0.0;54.5829;890.5584;10.839;8970.7173;2.4886;0.4981;105.7476;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
41;0.3992;89.4063;28257.0599;0.1401;70.7829;2030922.699;15.2093;40.8594;0.0;0.0;94.0263;0.0;437.5911;593.373;0.0;58.8693;864.3512;11.0796;9842.6347;1.9718;0.2305;117.2817;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
42;0.3822;102.9567;28135.9033;0.1382;85.9603;1959875.0694;15.7608;40.2007;0.0;0.0;94.723;0.0;516.6245;563.0068;0.0;61.6056;877.3247;11.3207;10185.8455;1.7434;0.2012;116.1896;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
43;0.4169;105.3269;28380.2763;0.1738;87.9129;2033267.7339;16.0902;48.8632;0.0;0.0;94.9399;0.0;518.7284;585.4507;0.0;60.7929;871.4722;11.5555;10104.3337;2.0104;0.3699;100.5926;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
44;0.4602;106.8789;27191.932;0.1677;85.2125;2013991.9427;15.5262;33.6665;0.0;0.0;93.2298;0.0;511.6735;586.0749;0.0;67.2262;898.6671;11.5305;8061.646;1.9912;0.2618;110.7015;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
45;0.4853;94.5373;29197.0911;0.1899;73.8758;2042061.4225;15.3293;49.7333;0.0;0.0;93.8;0.0;452.046;580.306;0.0;55.8561;897.4039;11.2044;8820.9985;1.5767;0.3357;115.2566;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
46;0.3135;98.1276;27732.3265;0.1145;84.2362;1936271.6521;16.6482;39.6951;0.0;0.0;94.3389;0.0;477.3341;552.4228;0.0;66.8223;885.6383;11.9864;11628.71;2.7538;0.2097;107.5026;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
47;0.4351;90.0859;27270.0335;0.1338;67.8954;2008489.3702;15.1246;31.8836;0.0;0.0;95.4224;0.0;428.3582;587.9269;0.0;59.9451;886.4268;10.5036;8617.1971;2.7095;0.2085;119.3414;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
48;0.3887;99.2348;27583.098;0.1882;84.3374;2049297.3995;15.7112;38.5984;0.0;0.0;93.3612;0.0;501.161;595.2529;0.0;68.2717;896.0867;11.9109;11549.1119;1.8299;0.46;106.6909;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
49;0.4563;95.9748;27489.3839;0.1843;76.6415;1953926.2172;15.6575;34.5291;0.0;0.0;95.5809;0.0;467.8568;563.944;0.0;61.0995;891.4914;10.5452;9584.0344;1.8447;0.3834;116.5505;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
50;0.4464;110.2971;28496.0567;0.1814;91.2336;2049798.4561;16.7248;43.3769;0.0;0.0;93.3553;0.0;509.2522;592.1371;0.0;53.2005;890.6867;10.6642;10082.7904;2.847;0.4639;115.9847;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
51;0.3538;83.5626;27912.2625;0.1205;66.9817;1983860.5953;15.5565;40.5444;0.0;0.0;95.2064;0.0;409.9307;567.6042;0.0;62.6952;896.2676;10.6992;11182.8018;2.2208;0.206;109.6887;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
52;0.3722;85.5463;27292.8981;0.1544;69.754;1978682.5712;15.8479;34.9536;0.0;0.0;93.2741;0.0;410.5431;572.5283;0.0;61.9091;893.0411;10.7384;11667.9061;1.7745;0.3149;109.5137;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
