;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;E_battEmptyPHEV;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren;Number;fe_phev_cd;fe_phev_cs;c_phev_el;c_phev_synth
50;0.3853;125.8853;36938.3733;0.1485;44.1182;12753299.185;15.537;53.5517;0.0;0.0;0.0;93.3384;0.0;265.0397;569.3012;0.0;0.4024;794.9673;15.0063;10393.6982;7.9694;0.4958;187.452;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;51;0.0;0.0;0.0;0.0
51;0.3304;144.6648;40677.0317;0.1118;59.1865;15906549.4758;16.636;73.2367;0.0;0.0;0.0;95.1522;0.0;338.5267;501.9472;0.0;0.9716;776.8914;16.3891;11354.4243;7.153;0.2871;188.1165;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;52;0.0;0.0;0.0;0.0
52;0.3888;160.2175;37680.9108;0.1479;55.0431;16448525.2329;16.0683;66.1747;0.0;0.0;0.0;94.1583;0.0;322.5462;515.1188;0.0;0.5713;885.917;15.6188;10013.1229;7.7569;0.4602;162.9159;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;53;0.0;0.0;0.0;0.0
53;0.384;143.0193;40617.2645;0.1359;50.4402;15157442.6557;15.8993;69.6928;0.0;0.0;0.0;93.4835;0.0;296.5744;548.336;0.0;0.8454;762.4855;15.6734;10445.9894;7.0344;0.4052;196.8247;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;54;0.0;0.0;0.0;0.0
54;0.3326;147.1638;40867.225;0.1218;46.2809;19559116.2193;15.6561;79.9247;0.0;0.0;0.0;93.7056;0.0;277.0023;509.1959;0.0;0.0066;896.557;16.6747;11627.1503;7.0988;0.3684;174.7548;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;55;0.0;0.0;0.0;0.0
55;0.328;132.5945;37882.1495;0.1287;68.369;12207377.9158;16.5904;56.2059;0.0;0.0;0.0;95.1885;0.0;392.2718;535.2138;0.0;0.2156;729.3774;16.705;11378.0638;7.335;0.3803;195.3914;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;56;0.0;0.0;0.0;0.0
56;0.3287;152.6947;37192.2434;0.1062;63.4256;14924982.4777;16.0987;60.5456;0.0;0.0;0.0;93.5239;0.0;368.4653;595.9987;0.0;0.2466;845.0764;16.4478;10164.9425;7.5035;0.2332;169.9916;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;57;0.0;0.0;0.0;0.0
57;0.3578;161.1706;39733.9606;0.1084;61.5166;15876846.8482;15.6352;71.7594;0.0;0.0;0.0;93.2327;0.0;366.8235;535.7461;0.0;0.7125;784.1353;15.6211;10199.0037;7.7973;0.257;178.8471;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;58;0.0;0.0;0.0;0.0
58;0.3188;125.5073;37725.3982;0.1273;46.5753;15548247.6925;15.5498;64.9417;0.0;0.0;0.0;93.9892;0.0;281.5198;593.274;0.0;0.3955;829.7688;16.7291;11774.8609;7.9447;0.4152;166.6941;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;59;0.0;0.0;0.0;0.0
59;0.3558;145.9261;38197.5311;0.1222;49.5306;15760680.9532;16.8227;67.9909;0.0;0.0;0.0;93.6316;0.0;275.677;533.8516;0.0;0.2109;818.9948;16.0545;10184.0748;7.1232;0.304;166.1624;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;60;0.0;0.0;0.0;0.0
60;0.3651;155.0265;38180.5007;0.1218;57.9333;15239627.7235;15.4808;62.9843;0.0;0.0;0.0;94.1549;0.0;352.3529;554.5415;0.0;0.4843;843.2966;15.542;10099.0041;7.0654;0.3246;179.1002;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;61;0.0;0.0;0.0;0.0
61;0.3145;108.7867;36515.0719;0.1015;37.4798;12225811.8117;16.7163;50.182;0.0;0.0;0.0;93.057;0.0;208.6441;556.3706;0.0;0.3615;807.4081;15.7376;10894.5054;7.8204;0.2246;191.604;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;62;0.0;0.0;0.0;0.0
62;0.3356;114.8274;36800.4514;0.1379;37.9695;14304086.9242;15.4837;57.7095;0.0;0.0;0.0;94.1258;0.0;230.8177;582.386;0.0;0.1582;844.8674;16.9402;10986.3499;7.0514;0.4443;171.5567;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;63;0.0;0.0;0.0;0.0
63;0.3074;125.7885;36312.2807;0.1068;61.858;11571111.6796;16.3202;53.01;0.0;0.0;0.0;95.4258;0.0;361.6896;565.1538;0.0;0.0751;714.625;16.0425;11282.2226;7.1398;0.2638;177.5567;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;64;0.0;0.0;0.0;0.0
64;0.3508;127.2815;38709.183;0.127;39.0618;15259442.6816;15.2065;61.7534;0.0;0.0;0.0;94.3387;0.0;242.333;568.9832;0.0;0.1933;857.268;16.4017;10545.9143;7.4912;0.3807;191.2313;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;65;0.0;0.0;0.0;0.0
