;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;L (years);D (km);r (%);Em_elFC;Em_elVC;Em_elBatt;C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren;Number
620;0.4276;605.0379;24302.0;0.2822;591.2952;2297555.1759;6.9305;16.4147;10184.9949;7.5631;329.3698;561.7194;753.0245;2.4775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.3916;114.6087;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;621
621;0.3223;523.4549;24302.0;0.1928;511.952;2158097.5253;5.4545;16.884;11111.9532;7.4141;332.2066;527.5515;862.5932;1.8109;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.4474;307.3437;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;622
622;0.3717;610.3996;24302.0;0.236;596.9218;2413678.6623;5.5628;16.6087;10782.6198;7.422;384.0445;590.1703;761.6997;2.4242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.9817;365.9188;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;623
623;0.3474;556.2212;24302.0;0.1943;541.0514;2408408.5778;6.9678;15.3658;10332.2879;7.8493;282.3906;588.8791;894.6279;1.3764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.0583;330.0332;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;624
624;0.3454;487.5244;24302.0;0.2085;475.5478;2126163.9645;5.2455;16.1653;10981.9843;7.4689;357.6015;519.7276;786.2178;2.1341;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.9781;43.752;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;625
625;0.4003;390.7507;24302.0;0.2571;378.5866;2064683.3193;6.0773;15.2734;11113.1602;7.5577;215.7336;504.6645;870.6103;2.5664;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.3044;450.6385;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;626
626;0.4166;582.0389;24302.0;0.2699;567.7874;2361174.548;5.6607;15.1954;10903.2449;7.3083;358.8188;577.3065;779.4769;2.9158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.1767;390.1908;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;627
627;0.3743;392.3554;24302.0;0.2493;379.7716;2446475.0606;5.4401;16.3961;11857.414;7.9657;267.8493;598.2056;852.2643;2.8478;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.2228;110.4252;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;628
628;0.2999;487.7709;24302.0;0.1683;475.3973;2284287.3138;5.2483;16.1486;11431.8869;7.1969;325.9247;558.4687;833.2988;1.4989;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.8818;241.4963;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;629
629;0.3362;558.8723;24302.0;0.2118;546.4585;2424431.4794;5.9256;16.8472;11592.5943;7.0376;333.4647;592.8048;867.5912;1.9788;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.0043;431.5121;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;630
630;0.429;697.9779;24302.0;0.2916;684.5314;2378720.2722;6.3098;16.4522;10752.5182;7.6953;394.8065;581.6053;885.9102;2.9257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.1369;472.4516;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;631
631;0.3773;481.393;24302.0;0.2343;469.3056;2054281.5146;6.2279;15.1279;11234.4057;7.5966;284.2349;502.116;881.4477;2.1961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.2218;79.6544;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;632
632;0.408;559.3989;24302.0;0.2692;547.232;2129818.5754;6.4505;15.2938;11445.7822;7.2485;314.9309;520.623;855.0209;2.597;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.5943;471.1574;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;633
633;0.3568;320.7009;24302.0;0.2061;306.5139;2288474.5657;5.5236;15.1446;10651.181;7.7975;203.779;559.4946;896.4543;1.9639;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.5064;115.8624;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;634
634;0.4417;514.8642;24302.0;0.2998;501.1039;2357279.1262;6.3074;16.4835;10392.859;7.136;305.6309;576.3521;866.259;2.963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.4419;142.8279;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;635
635;0.3877;516.4213;24302.0;0.2596;503.6651;2420873.601;5.6866;16.0318;11837.7867;7.534;334.0062;591.9331;708.99;2.8578;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.5387;157.9387;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;636
636;0.3732;318.2302;24302.0;0.2309;304.5822;2330690.7502;5.1116;15.739;10850.2434;7.9946;216.6459;569.8378;780.656;2.5923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.1905;140.0235;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;637
637;0.4256;474.4184;24302.0;0.2756;459.9866;2338795.056;6.6565;15.6627;10346.7513;7.6503;253.1194;571.8234;832.6577;2.5133;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.7317;346.3453;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;638
