;Vehicle;TCO (€/km);LCE;TCO_Capex (€);TCO_Opex (€/km);Em_fc;Em_vc;FE;L (years);D (km);r (%);Em_elFC (gGHG/kWh);Em_elVC (gGHG/kWh);Em_elBatt (gGHG/kWh);C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren
120;PHEV;0.3271;636.4827;27208.4401;0.17;623.3761;2268879.5453;5.1513;15.5331;11144.6214;7.883;475.399;513.9374;732.7294;1.5493;0.01;16.3021;5.0389;0.2074;1.5628;11.2367;0.0;0.0;0.0;45.8374;310.7694;163.9663;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;677.4906;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
121;PHEV;0.4417;749.125;27215.3139;0.2711;734.7587;2291581.7295;6.5951;15.8836;10042.5338;7.1325;426.7057;519.091;758.736;2.2862;0.0091;15.3816;6.5146;0.2545;2.3048;10.2654;0.0;0.0;0.0;45.22;312.6053;180.1502;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;665.4866;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
122;PHEV;0.4721;802.2763;27138.3782;0.3212;788.0725;2553996.0014;6.713;16.1164;11156.9835;7.5358;467.526;578.6614;798.2656;2.9253;0.0091;16.6115;6.6218;0.2468;2.95;10.3867;0.0;0.0;0.0;46.0847;110.5793;170.6392;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;675.4608;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
123;PHEV;0.3455;712.8625;27421.121;0.1951;700.3773;2276397.3091;5.4353;15.2971;11919.1489;7.9553;498.7572;515.644;731.5385;1.9012;0.0098;15.1838;5.339;0.2772;1.9172;11.4336;0.0;0.0;0.0;44.5642;101.2504;179.744;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;670.4599;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
124;PHEV;0.3806;575.8975;27270.4739;0.2192;561.0386;2510632.9619;5.1379;16.2704;10384.785;7.6742;412.9494;568.8176;741.5234;2.2408;0.0093;16.9593;5.0273;0.4397;2.2576;10.3273;0.0;0.0;0.0;44.4833;359.7232;184.4116;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;663.2412;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
125;PHEV;0.3954;619.0879;27227.1796;0.2379;605.5217;2345882.2211;5.2661;16.779;10305.8015;7.8863;430.1667;531.4177;879.0619;2.4489;0.0099;15.4983;5.1638;0.3584;2.4698;10.2758;0.0;0.0;0.0;44.2057;407.5559;181.1226;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;673.1988;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
126;PHEV;0.4338;817.5725;27214.737;0.2808;803.1174;2571231.8824;6.4455;15.9741;11135.404;7.8918;483.8729;582.5741;819.5977;2.5839;0.0092;16.1777;6.3547;0.2716;2.6055;11.1786;0.0;0.0;0.0;44.783;74.2099;165.3818;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;668.9242;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
127;PHEV;0.3172;627.7491;27192.1829;0.1715;615.9105;2210111.3893;5.6634;16.3252;11435.4552;7.4338;417.6711;500.5965;871.9266;1.4331;0.0091;16.4711;5.564;0.2138;1.4443;10.4016;0.0;0.0;0.0;44.4923;150.5748;175.5675;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;677.7055;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
128;PHEV;0.4047;691.4354;27263.0498;0.2528;677.5618;2490294.1202;6.0234;15.7707;11381.7622;7.7535;433.8628;564.2005;716.4499;2.4224;0.0092;15.5194;5.9355;0.3625;2.4415;10.447;0.0;0.0;0.0;44.7969;152.4478;181.588;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;662.6982;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
129;PHEV;0.4162;779.0833;27580.0231;0.2703;765.1251;2639665.7347;5.9263;15.858;11925.3677;7.7706;474.7589;598.1092;876.8384;2.7287;0.009;15.9559;5.8348;0.2675;2.7512;11.5657;0.0;0.0;0.0;43.3213;367.4767;191.4301;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;669.5301;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
