;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;L (years);D (km);r (%);Em_elFC (gGHG/kWh);Em_elVC (gGHG/kWh);Em_elBatt (gGHG/kWh);C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren;Number
222;0.5939;187.6929;81925.6679;0.1183;164.5877;3979805.4134;1.0581;16.0163;10754.4793;7.9385;440.5785;568.379;723.1274;4.961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.773;91.419;94.3185;0.0;170.0635;113.901;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;566.0068;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;223
223;0.6497;230.0089;79083.6161;0.1685;207.0553;3772303.286;1.3925;15.1513;10846.9197;7.526;426.2124;527.6113;840.7602;6.9142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.7986;89.6301;95.4507;0.0;191.8828;84.2669;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;569.9701;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;224
224;0.5552;213.6827;80020.4521;0.1061;190.7133;4092709.4735;1.1747;16.4364;10840.6456;7.9521;462.5439;586.1208;845.6094;3.5765;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.8572;87.6495;94.8731;0.0;196.4115;97.1388;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;567.0774;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;225
225;0.5586;183.327;78437.8225;0.1015;160.5266;3912793.3424;1.0715;15.9065;10788.7116;7.9115;420.5833;578.5705;783.6179;3.593;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.6052;84.6111;93.4849;0.0;199.2996;80.5835;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;558.0594;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;226
226;0.6046;190.6892;81834.4978;0.1102;165.787;4122262.8031;1.1027;16.0704;10300.779;7.4091;425.2234;585.3836;807.5021;3.9108;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.3612;103.6942;94.1821;0.0;189.4399;99.5053;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;555.9024;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;227
227;0.543;219.7298;80434.8788;0.1395;198.7717;4177512.1376;1.1338;16.844;11833.6508;7.5063;492.6076;589.2013;801.048;6.7249;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.7675;81.9987;93.568;0.0;184.9681;107.7195;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;554.2374;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;228
228;0.5509;202.5029;82468.6031;0.1152;182.3201;3820435.439;1.2143;16.4254;11524.28;7.545;428.332;524.2212;896.2935;4.4335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.371;94.8654;94.9984;0.0;184.0748;115.76;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;552.0465;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;229
229;0.6203;225.8771;81203.1036;0.1473;204.376;3691424.0179;1.3601;15.6845;10946.1614;7.9797;433.0216;506.8124;709.4733;5.8452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.0271;89.8141;95.961;0.0;160.8668;108.171;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;563.0965;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;230
230;0.6462;166.1173;81513.0768;0.1057;140.6858;3835417.1107;1.0062;15.0121;10046.1683;7.6857;401.8943;558.1999;898.7112;3.7942;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.8032;87.9379;95.7172;0.0;198.6673;112.5009;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;556.4061;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;231
231;0.6441;246.3767;79910.2826;0.1376;220.689;4052537.5931;1.2732;15.21;10372.2483;7.3705;493.4354;520.5241;748.3751;5.2993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.7088;94.8498;94.7961;0.0;166.2355;88.5283;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;557.1386;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;232
232;0.6191;228.7189;80579.2336;0.1319;203.3131;4201873.1571;1.3225;15.2726;10829.2567;7.0563;440.0004;569.9311;861.2614;4.851;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.1165;107.3838;95.3076;0.0;181.6544;84.1071;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;557.0697;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;233
