TCO;LCE
0.3196;70.7473
0.3111;61.2843
0.3776;77.8363
0.3679;76.5715
0.3489;76.3810
0.3592;78.6746
0.3222;62.1566
0.3431;75.1095
0.3395;67.3354
0.3561;78.5534
0.3573;78.9887
0.3364;71.0261
0.3640;80.7984
0.3159;66.1601
0.3315;70.3403
0.3397;68.7695
0.3713;84.5577
0.3475;73.1165
0.3209;64.9120
0.3137;66.9719
0.3653;79.2483
0.3406;74.0953
0.3233;70.4777
0.3113;69.8123
0.7263;311.0326
0.7949;271.9389
0.6339;283.0453
0.6261;286.2762
0.7008;300.1388
0.6744;301.0586
0.6231;299.3114
0.6436;293.0650
0.6062;285.0396
0.6668;274.7245
0.7514;309.0053
0.5943;272.3418
0.6426;285.5523
0.5603;261.4272
0.6018;329.8558
0.6706;289.2667
0.6425;283.7864
0.7589;304.9027
0.6722;305.6218
0.7095;279.2803
0.5943;295.9337
0.6859;293.5895
0.6087;261.7268
0.6789;325.8399
0.5464;308.4882
0.6401;272.1708
0.5686;265.8460
0.6698;267.7379
0.7245;302.4743
0.8001;285.3185
0.7091;292.4186
0.6717;328.0021
0.6559;289.5933
0.5677;255.6786
0.7140;293.4424
0.5470;268.5127
0.6272;276.9710
0.6195;291.8742
0.7201;327.6167
0.6465;285.5521
0.7188;302.8745
0.6987;323.1075
0.6766;271.6285
0.6601;275.0777
0.6943;291.6354
0.7305;308.9495
0.5753;312.0771
0.6040;261.7101
0.6560;272.7684
0.5853;268.5945
0.7226;259.7506
0.6305;275.7491
0.6713;300.9078
0.7329;300.7832
0.6897;333.2154
0.6943;292.8484
0.6173;269.0147
0.6369;295.5707
0.6430;272.2103
0.7633;299.2222
0.6249;269.9697
0.5674;332.9273
0.6534;264.9147
0.7508;268.5558
0.6365;288.0150
0.7690;298.0726
0.7393;281.0962
0.6356;272.9518
0.5966;273.0259
0.5869;297.3367
0.5941;278.0915
0.6437;290.8783
0.5765;304.6649
0.6839;291.6705
0.6189;270.7832
0.6565;272.3261
0.6007;274.0697
0.5864;273.6836
0.6437;294.7079
0.8287;256.8425
0.6756;280.8463
0.7255;275.7522
0.5633;279.1278
0.6922;321.3821
0.6662;326.5280
0.6348;304.3239
0.6238;277.3154
0.6662;275.8420
0.7330;300.9095
0.5389;291.3163
0.6814;291.3997
0.6991;287.4164
0.6957;323.8447
0.7265;289.2997
0.6679;290.9071
0.5896;280.5218
0.5668;323.7386
0.6822;314.9953
0.6072;298.3757
0.6775;286.7270
0.6661;262.1448
0.7078;287.6736
0.7744;289.4048
0.8275;333.8410
0.5238;279.6934
0.6775;291.3268
0.6625;326.7933
0.6679;312.2498
0.6323;265.4526
0.8361;315.8186
0.7178;314.9948
0.6168;265.7180
0.6306;264.0614
0.5871;256.7995
0.6043;285.0437
0.7737;316.7418
0.6065;285.9098
0.5439;274.7928
0.6550;273.2757
0.7214;307.1377
0.6146;273.0933
0.5928;274.7631
0.8067;270.4967
0.6136;288.1526
0.6498;303.1217
0.6375;267.6518
0.7587;338.8095
0.5751;267.8192
0.6801;306.5495
0.6598;300.2372
0.7464;292.3401
0.6409;272.0996
0.6378;292.2299
0.6193;276.7517
0.6140;308.6245
0.5607;257.4917
0.6398;289.1262
0.7811;272.4940
0.5655;261.8706
0.8145;280.6716
0.5882;297.8445
0.7594;295.2897
0.6753;300.4696
0.6107;285.7286
0.6764;267.0434
0.7483;315.7397
0.6509;294.9589
0.7271;337.3030
0.7551;283.8790
0.6489;309.2949
0.6222;275.6987
0.6661;252.4157
0.5891;284.8916
0.6574;271.8738
0.5824;313.0056
0.6414;297.3250
0.6251;312.9219
0.6299;288.4817
0.6941;277.7358
0.6207;268.1728
0.6837;266.9236
0.7543;273.0684
0.7550;291.0420
0.5724;282.3941
0.6048;290.0426
0.5848;283.9325
0.6032;270.4970
0.7044;288.5848
0.6879;284.9730
0.6659;268.3136
0.6757;318.5808
0.5761;322.3491
0.7333;315.9159
0.6016;259.3301
0.6954;309.9518
0.6836;312.3975
0.7293;261.1430
0.6210;301.1893
0.7587;289.8289
0.5931;264.6896
0.6420;320.8022
0.6291;301.4990
0.7024;278.2486
0.6696;275.4848
0.7030;273.6850
0.6450;269.8589
0.5697;288.0926
0.6994;319.1599
0.6266;267.0220
0.7103;312.5244
0.6223;267.4985
0.7809;310.0043
0.6172;262.9349
0.7504;294.0077
0.6795;271.4659
0.7739;280.7428
0.6433;296.6981
0.5626;277.7794
0.6279;278.6403
0.6821;289.8726
0.6709;262.0202
0.5981;297.2399
0.6742;270.8427
0.6651;308.6981
0.8360;284.1694
0.7011;299.1743
0.6772;292.0617
0.7714;283.4393
0.7006;285.2875
0.6518;277.2269
0.6889;276.4717
0.6349;282.5219
0.5909;325.0377
0.6324;315.9283
0.6369;303.1683
0.7248;320.3491
0.6948;289.5298
0.7256;308.5451
0.7514;295.4346
0.5756;264.7154
0.5882;287.8283
0.6420;312.9277
0.6581;294.8647
0.6679;267.8788
0.6206;282.1825
0.6840;309.0836
0.6674;316.5771
0.6082;304.1789
0.6414;278.6148
0.6362;299.6929
0.6734;284.0355
0.7431;316.5641
0.6629;332.7784
0.7725;270.2648
0.6383;279.3845
0.8271;302.9152
0.5707;279.8516
0.7464;269.6151
0.7127;327.0239
0.7459;300.2378
0.5688;304.1069
0.5478;319.1663
0.7604;294.5990
0.5919;256.2129
0.6461;282.5450
0.6033;290.2543
0.6356;276.0779
0.6496;269.2172
0.6957;310.8331
0.6853;322.3739
0.5905;293.8444
0.6398;311.9539
0.7050;308.5152
0.6822;277.5862
0.6576;294.6372
0.6179;276.1411
0.5593;310.0838
0.6833;316.1201
0.6129;261.0141
0.6043;255.0989
0.6266;300.2297
0.6789;261.4137
0.6011;271.7487
0.6497;306.1678
0.7011;305.8912
0.6559;316.4356
0.6328;274.6807
0.7683;291.3503
0.6519;263.6579
0.5598;272.0497
0.6289;281.4765
0.5833;294.0048
0.7211;261.7235
0.6444;325.5550
0.5964;290.5398
0.5643;279.9633
0.6785;298.6172
0.7225;283.6532
0.6490;281.6211
0.7090;297.3806
0.6154;311.2922
0.6883;300.3250
0.6721;294.5095
0.6131;265.9454
0.5732;272.0287
0.5804;271.6372
0.6233;250.1198
0.7184;281.6086
0.6159;285.7969
0.6224;261.7201
0.6294;288.9696
0.6562;268.2857
0.6718;258.9593
0.6891;273.5278
0.6696;282.6271
0.5722;248.8018
0.6494;287.3570
0.6013;311.9867
0.6914;290.5588
0.6947;285.9795
0.6724;254.5610
0.6812;310.5915
0.6781;303.5058
0.5893;280.1004
0.5738;257.3438
0.6722;284.8431
0.5718;283.9756
0.6656;274.5567
0.5887;268.2755
0.7148;293.2206
0.7140;266.3270
0.6976;265.7315
0.7200;298.7631
0.8149;274.1060
0.6318;250.5267
0.7283;261.8412
0.6076;317.7388
0.6679;281.3993
0.6932;305.7244
0.7576;316.2312
0.6604;310.2693
0.6053;279.2446
0.6337;260.0124
0.5759;299.4208
0.7156;333.9234
0.6733;285.7228
0.6258;248.4010
0.7789;276.4920
0.5655;265.7950
0.6431;253.7766
0.6093;277.9962
0.7564;276.0696
0.6366;331.6296
0.7315;281.2005
0.6650;285.9283
0.6704;287.5427
0.6500;291.5497
0.5818;284.8343
0.7473;294.7156
0.5574;294.3196
0.7665;305.4216
0.5877;259.0596
0.5916;317.8157
0.6218;298.4601
0.5720;273.4552
0.7501;318.1193
0.6018;296.6611
0.6461;277.0089
0.7343;319.7291
0.6573;313.5364
0.6943;308.2033
0.6612;274.9983
0.6493;301.0881
0.6532;318.6268
0.5909;253.0925
0.5487;299.8831
0.7424;283.2254
0.7085;275.7152
0.7106;295.3248
0.6806;271.8035
0.7130;314.6414
0.6508;265.2271
0.5701;252.0947
0.7364;335.5565
0.6419;279.4232
0.6875;293.9354
0.7121;305.9647
0.7177;268.8578
0.6396;278.6101
0.6887;276.2830
0.6547;267.6684
0.6959;289.8172
0.5577;273.4444
0.5956;304.6063
0.5455;273.3151
0.5731;250.2797
0.7230;257.3029
0.6074;302.3082
0.7191;287.0014
0.6176;279.5717
0.5465;260.9378
0.6889;290.0508
0.5961;284.4173
0.7181;305.7638
0.6246;270.8285
0.5912;313.8918
0.6496;331.5309
0.6741;315.8041
0.5962;283.1767
0.6557;276.5485
0.6750;286.3865
0.5979;291.7970
0.5417;275.4206
0.6907;282.4397
0.6040;252.7448
0.6400;278.8381
0.6668;276.1890
0.5394;244.9862
0.6633;281.1325
0.7990;289.5735
0.6385;272.0130
0.6405;300.6948
0.7135;305.4280
0.6063;275.8447
0.7272;284.6111
0.6192;278.3831
0.5623;300.2124
0.5917;271.6506
0.6665;282.7634
0.8247;289.0292
0.7030;261.4829
0.5585;314.8831
0.5767;292.4750
0.7123;314.6253
0.7481;320.8545
0.6005;262.2163
0.6664;291.5317
0.5723;254.0788
0.6954;344.6609
0.7520;278.2037
0.7268;287.8115
0.6912;320.8097
0.6415;279.0283
0.7502;296.7451
0.5605;297.6434
0.6042;289.2951
0.6494;278.5283
0.6957;308.0942
0.6299;291.1667
0.6764;290.7706
0.6133;273.1627
0.7399;276.7780
0.6185;268.7597
0.5629;270.1361
0.5957;311.3092
0.7377;303.3953
0.5564;266.6783
0.7429;299.0407
0.5511;272.3123
0.5751;255.2502
0.7656;298.7791
0.6297;287.5648
0.7371;301.8220
0.7630;309.8377
0.6044;281.1471
0.5263;263.5625
0.8143;298.3715
0.6355;289.5043
0.7695;337.2978
0.6717;318.3730
0.6232;258.6454
0.6991;300.5646
0.6725;286.7514
0.7487;267.8213
0.5720;295.3574
0.7084;328.2154
0.6776;308.4500
0.7276;265.0705
0.6011;292.3244
0.7195;272.2807
0.7077;289.9649
0.5407;276.1287
0.6547;282.6123
0.6192;312.9095
0.6275;285.9399
0.6352;265.0879
0.7339;308.9978
0.6684;271.1393
0.7896;295.6457
0.6305;276.3658
0.6428;279.6205
0.6143;303.2307
0.5886;319.1659
0.5918;291.9279
0.7041;296.8053
0.5974;306.9796
0.6149;295.6545
0.6236;266.6770
0.6988;301.1077
0.6668;299.2113
0.6614;275.4621
0.6640;300.9113
0.6466;261.3495
0.6262;302.1444
0.6674;261.5219
0.7247;274.6715
0.6608;293.0432
0.6837;272.9068
0.6961;308.8637
0.6168;277.6071
0.6440;280.6738
0.6732;274.4596
0.6896;325.7460
0.6458;289.9240
0.5769;282.6550
0.6105;288.2994
0.7188;308.1779
0.6502;301.0057
0.6227;310.9798
0.6417;261.1992
0.5080;354.7127
0.4658;339.8864
0.4619;298.7033
0.4331;277.6780
0.4304;267.8715
0.3861;210.2687
0.3968;240.2535
0.4804;422.2815
0.4865;324.4521
0.5094;430.8915
0.4374;254.7089
0.4038;252.2212
0.4483;316.9566
0.4306;268.5219
0.5029;399.4780
0.4729;419.3511
0.4262;266.4980
0.4243;336.4070
0.4824;447.4673
0.4317;238.5746
0.5307;481.3248
0.4078;256.9397
0.4102;246.0213
0.4267;293.3991
0.4282;376.8888
0.3813;208.0460
0.5051;379.9660
0.4964;359.1743
0.4466;306.2607
0.4636;298.5597
0.4296;349.6474
0.4231;208.7850
0.4550;298.3827
0.4168;282.7232
0.4806;384.9534
0.4895;427.2022
0.5001;422.1506
0.4559;402.5755
0.4260;368.5493
0.5124;317.9276
0.4735;321.7594
0.5278;484.8747
0.5055;467.3689
0.4592;356.1931
0.4167;339.4852
0.4598;337.4742
0.4663;333.0755
0.4678;432.6938
0.4792;339.8920
0.4985;402.6366
0.4732;288.8116
0.5374;485.0610
0.4696;386.2384
0.5070;493.5897
0.4651;239.8500
0.4385;345.3103
0.4674;377.4940
0.5152;387.5558
0.3793;247.7873
0.4804;379.8239
0.4493;367.4758
0.4123;260.2952
0.4297;283.5122
0.4649;392.9558
0.4527;352.0635
0.4661;376.4672
0.4631;415.0631
0.4454;366.2175
0.5187;420.6272
0.5411;436.7659
0.5004;357.9803
0.4399;303.5125
0.4472;299.4981
0.5336;536.0262
0.4320;347.9269
0.4291;257.1708
0.4056;262.2943
0.4494;318.8341
0.4763;358.1610
0.3873;241.9012
0.5189;417.1267
0.4688;449.7664
0.4113;307.1878
0.5178;452.5691
0.5098;417.4311
0.4734;524.1047
0.4059;262.7145
0.5085;467.5436
0.4535;384.9979
0.4274;287.7896
0.4736;447.6138
0.4692;313.7959
0.4860;384.3528
0.4880;444.7677
0.4779;388.7365
0.5405;385.3707
0.5152;387.9675
0.4474;294.6041
0.4666;436.0516
0.4824;384.1891
0.4138;274.0933
0.5008;424.5662
0.4476;263.3136
0.5306;434.1658
0.4094;227.6407
0.4117;236.8168
0.4901;476.3334
0.4929;367.9900
0.4930;439.0324
0.4363;313.7294
0.4171;285.6347
0.4024;223.3648
0.4928;422.7891
0.4962;469.5448
0.4593;432.9424
0.5547;476.2376
0.4926;323.6421
0.5504;461.3028
0.4916;369.6747
0.4627;241.2013
0.4548;469.3072
0.4379;359.2854
0.4361;348.4792
0.4590;315.1987
0.4890;408.6256
0.4224;288.4642
0.4282;253.3402
0.4043;250.7158
0.5188;462.6593
0.4238;308.4129
0.4351;269.3279
0.4166;289.3599
0.5256;497.4409
0.4951;373.2714
0.4102;293.0510
0.4111;326.5495
0.4947;419.0869
0.4693;450.2924
0.4418;276.4208
0.4915;368.5079
0.5029;425.2746
0.3954;202.4480
0.4158;332.6328
0.4615;301.9147
0.4274;297.7686
0.3887;220.2687
0.4351;308.0861
0.3920;228.7843
0.4380;416.8901
0.4437;303.4969
0.4147;290.8206
0.4927;428.9760
0.4213;244.1567
0.4672;353.9616
0.4373;268.6916
0.4554;336.1938
0.5306;365.4485
0.4551;236.1506
0.4561;334.3229
0.5114;397.1409
0.4328;305.4221
0.4368;400.5069
0.4763;396.3063
0.4776;304.5174
0.4562;299.3388
0.5067;414.7299
0.4686;327.5730
0.4967;391.2547
0.4083;257.6391
0.4763;467.3554
0.4648;414.9201
0.4932;465.4756
0.4914;383.1610
0.5074;430.3341
0.4374;291.1248
0.4317;275.2804
0.4624;383.7602
0.4024;352.8809
0.4810;374.9295
0.4406;320.5972
0.4749;336.5085
0.4891;358.9242
0.5197;429.6221
0.4601;303.0090
0.4866;359.6904
0.4765;305.8879
0.4381;332.6683
0.4472;334.5072
0.4452;420.4190
0.4356;295.0034
0.4637;320.3769
0.4930;371.5329
0.4384;411.3292
0.4332;319.1857
0.4765;427.8468
0.3995;256.4922
0.4796;369.7379
0.4381;313.2900
0.4391;360.8614
0.5123;395.6559
0.4992;465.8158
0.4393;338.3087
0.4300;298.0071
0.4689;387.5132
0.5344;382.2524
0.4635;462.9981
0.4432;294.2085
0.4609;396.7033
0.3690;216.4027
0.4784;286.5948
0.4557;345.9525
0.4449;270.3664
0.4246;339.8791
0.4723;404.0627
0.4879;351.0098
0.4543;285.3808
0.4260;316.2933
0.4683;272.3926
0.4294;228.5209
0.3993;211.4604
0.4716;355.6668
0.5048;373.7519
0.4445;411.9494
0.4078;303.9780
0.4567;275.6889
0.4867;357.7917
0.4965;385.8045
0.4689;296.7248
0.5104;355.4134
0.4479;320.0124
0.3826;271.1772
0.5051;442.9586
0.4730;417.8991
0.4295;270.4283
0.4140;263.6956
0.4402;327.1709
0.3917;257.4527
0.4383;384.5849
0.4589;347.1965
0.4812;363.7982
0.4846;445.9828
0.4897;438.8042
0.4829;385.7138
0.4691;410.3744
0.4353;338.0468
0.4153;256.3583
0.4298;278.3731
0.4256;295.5324
0.4339;304.1313
0.4181;275.4283
0.4365;325.5455
0.4985;480.2761
0.4352;348.4918
0.5220;399.8487
0.5420;491.5469
0.4405;232.1929
0.4691;291.7136
0.4933;414.1686
0.4539;366.1062
0.4639;261.4920
0.4200;243.7441
0.4000;238.9391
0.5237;461.2404
0.4333;253.2454
0.4263;298.1842
0.4577;275.4072
0.5168;455.2822
0.5048;525.9788
0.4458;296.2445
0.5276;475.1411
0.4478;246.0535
0.3622;220.9238
0.4036;207.6625
0.4465;293.4044
0.4806;413.8035
0.4435;298.7318
0.4841;468.0046
0.4529;269.7889
0.4239;277.1273
0.4826;295.2491
0.4464;254.1808
0.4631;253.6334
0.4839;394.2294
0.4162;295.4833
0.4532;330.3226
0.4127;244.8545
0.4108;264.8626
