;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;fe_phev_cd;fe_phev_cs;c_phev_el;c_phev_synth;E_batt;E_battEmptyPHEV;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;Em_elBatt;cd_phev;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren;Number
22;0.3442;136.4485;34766.4218;0.126;62.5646;11771648.867;16.9833;0.0;0.0;0.0;0.0;43.1319;0.0;0.0;0.0;93.5254;0.0;344.5372;555.8231;890.873;0.7273;15.3694;10366.4607;7.9847;0.3346;182.3806;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;23
23;0.3316;108.2417;35357.2698;0.1075;38.0264;11076396.5733;16.212;0.0;0.0;0.0;0.0;43.4712;0.0;0.0;0.0;95.8459;0.0;224.8133;504.9137;838.4396;0.8185;15.5585;10139.0841;7.0258;0.2331;194.5488;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;24
24;0.3389;129.0632;38208.4673;0.1073;47.0327;13531384.0671;15.8518;0.0;0.0;0.0;0.0;65.0689;0.0;0.0;0.0;94.3119;0.0;279.8259;556.0662;712.2287;0.4295;15.7789;10454.1826;7.3298;0.251;173.7922;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;25
25;0.3228;95.1425;36683.8115;0.124;33.9063;11299538.6173;15.2666;0.0;0.0;0.0;0.0;50.7472;0.0;0.0;0.0;95.2752;0.0;211.6009;562.1418;724.1483;0.9563;16.1209;11446.2508;7.555;0.3903;192.7951;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;26
26;0.3183;132.7902;33696.0186;0.1218;69.7386;10814768.235;16.9854;0.0;0.0;0.0;0.0;40.4782;0.0;0.0;0.0;93.9616;0.0;385.7874;507.8521;870.7338;0.0065;16.0442;10690.6228;7.1123;0.3144;167.8933;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;27
27;0.3637;147.5249;40061.7911;0.1293;50.4764;16583880.1799;15.0434;0.0;0.0;0.0;0.0;71.6456;0.0;0.0;0.0;94.0037;0.0;315.4186;536.3625;824.6771;0.2858;15.0469;11356.6461;7.4714;0.4238;183.7069;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;28
28;0.3319;112.9629;35516.207;0.1464;49.2112;12206804.9216;16.2544;0.0;0.0;0.0;0.0;49.665;0.0;0.0;0.0;93.6771;0.0;283.6132;523.6223;823.8023;0.472;16.3548;11707.5174;7.0754;0.4895;173.4865;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;29
29;0.3649;118.6753;39092.6232;0.1307;36.0723;13787654.8837;16.1183;0.0;0.0;0.0;0.0;65.397;0.0;0.0;0.0;95.0468;0.0;212.7122;526.5497;730.8212;0.052;16.1064;10363.2601;7.8309;0.3772;186.4401;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;30
30;0.3086;127.4875;37705.1348;0.1062;42.5249;15830638.6255;15.4057;0.0;0.0;0.0;0.0;65.9663;0.0;0.0;0.0;93.3924;0.0;257.7943;581.4584;837.16;0.3919;16.1796;11516.0256;7.3126;0.2843;163.7978;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;31
31;0.3034;147.1975;36492.5219;0.1058;69.9892;14261904.5318;16.5475;0.0;0.0;0.0;0.0;58.0902;0.0;0.0;0.0;93.3404;0.0;394.792;563.1733;841.486;0.9342;16.632;11106.2947;7.9243;0.2575;165.1315;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;32
