TCO (€/km);LCE (gGHG/km)
0.3201;593.6266
0.3242;601.6668
0.3389;491.9590
0.3792;415.3635
0.3221;626.5340
0.3620;639.2794
0.3978;536.2554
0.3643;448.6141
0.3268;419.7213
0.3680;387.5873
0.4153;400.8517
0.4204;497.0200
0.3842;537.1967
0.3745;362.7136
0.4003;634.5294
0.4089;365.3398
0.3751;477.7304
0.3764;471.7857
0.3315;575.8079
0.3907;405.4863
0.3870;355.3384
0.3111;632.5000
0.3349;436.8116
0.3378;525.7742
0.4034;381.9566
0.3463;667.7291
0.3984;536.5218
0.3125;467.4957
0.3660;446.0792
0.3758;609.9223
0.2840;520.4689
0.4294;548.4075
0.3710;616.3172
0.3026;309.7673
0.3829;453.1112
0.3133;551.5563
0.3815;583.8705
0.3664;506.9717
0.4015;396.6413
0.3473;556.8744
0.2989;532.7716
0.3023;527.1571
0.3220;464.7400
0.3389;516.0576
0.3727;613.4146
0.3750;491.4743
0.3363;349.4520
0.3711;587.2504
0.3732;434.6921
0.3446;486.4434
0.3646;583.8836
0.3882;586.3748
0.3063;611.4162
0.4004;359.1035
0.4347;713.2947
0.3879;708.0274
0.3251;401.7493
0.3443;608.7559
0.4136;434.0103
0.3564;616.0861
0.3236;430.2142
0.3422;428.0969
0.3763;681.3833
0.3981;477.9201
0.3835;502.8895
0.4484;622.0094
0.4261;475.1235
0.3592;413.4535
0.4236;732.7621
0.4208;482.6977
0.3104;351.1241
0.3347;552.3796
0.4212;550.7643
0.3808;568.9109
0.3969;715.0091
0.4033;632.8095
0.3159;455.0489
0.3393;372.8108
0.4446;638.2964
0.3958;457.3034
0.3536;622.1056
0.3244;542.0766
0.3635;662.1618
0.4383;408.4789
